C:\ProgramData\Anaconda3\python.exe E:/programming/my/python/TOPSIS/topsis.py
|    SN    |    Rank    |              Name              |    ScreenSize (0.08)    |    PrimaryCamera (0.12)    |    SecondaryCamera (0.1)    |    RAM (0.06)    |    Battery (0.11)    |    Memory (0.08)    |    SDSlot (0.07)    |    TalkTime (0.06)    |    Price (0.01)    |    Announced (0.05)    |    VoiceControl (0.07)    |    SoundSpeaker (0.09)    |    Weight (0.07)    |    PhysicalKeyboard (0.03)    |
|----------|------------|--------------------------------|-------------------------|----------------------------|-----------------------------|------------------|----------------------|---------------------|---------------------|-----------------------|--------------------|------------------------|---------------------------|---------------------------|---------------------|-------------------------------|
|    1     |     1      |         Sony Xperia XZ         |           5.2           |             16             |             31              |        3         |         2900         |         32          |          1          |          11           |        440         |          2016          |             0             |             1             |         161         |               0               |
|    2     |     2      |           OnePlus 5T           |          6.01           |             16             |             16              |        8         |         3300         |         128         |          0          |          44           |        500         |          2017          |             0             |             1             |         162         |               0               |
|    3     |     3      |       Samsung Galaxy A8+       |            6            |             16             |             16              |        6         |         3500         |         64          |          1          |          24           |        600         |          2017          |             1             |             1             |         191         |               0               |
|    4     |     4      |     Sony XperiaX A2 Ultra      |            6            |             23             |             16              |        4         |         3850         |         32          |          1          |          20           |        580         |          2018          |             1             |             1             |         221         |               0               |
|    5     |     5      |      Apple iPhone 8 Plus       |           5.5           |             12             |              7              |        3         |         2691         |         256         |          0          |          21           |        910         |          2017          |             1             |             2             |         202         |               0               |
|    6     |     6      |       Huawei Mate 10 Pro       |            6            |             12             |              8              |        6         |         4000         |         128         |          0          |          50           |        650         |          2017          |             1             |             2             |         178         |               0               |
|    7     |     7      |         Apple iPhone 7         |           4.7           |             12             |              7              |        2         |         1960         |         256         |          0          |          14           |        610         |          2015          |             1             |             2             |         138         |               0               |
|    8     |     8      |         Apple iPhone 8         |           4.7           |             12             |              7              |        2         |         1821         |         256         |          0          |          14           |        800         |          2017          |             1             |             2             |         148         |               0               |
|    9     |     9      |    Sony XperiaX Performance    |            5            |             23             |            11.5             |        3         |         2700         |         32          |          1          |          20           |        340         |          2016          |             0             |             2             |        164.4        |               0               |
|    10    |     10     |         Huawei P9 Plus         |           5.5           |             12             |              8              |        4         |         3400         |         64          |          1          |          40           |        430         |          2016          |             1             |             2             |         162         |               0               |
|    11    |     11     |       Asus Zenfone 4 Max       |           5.2           |             13             |              8              |        3         |         4100         |         32          |          1          |          17           |        270         |          2017          |             1             |             1             |       178.38        |               0               |
|    12    |     12     |       Asus Zenfone 3 Max       |           5.5           |             16             |              8              |        4         |         4100         |         32          |          1          |          17           |        525         |          2016          |             0             |             1             |         148         |               0               |
|    13    |     13     |    Asus Zenfone 4 SelfiePro    |           5.5           |             16             |              4              |        4         |         3000         |         64          |          1          |          19           |        440         |          2017          |             1             |             1             |         147         |               0               |
|    14    |     14     |        BlackBerry Priv         |           5.4           |             18             |              2              |        3         |         2880         |         32          |          1          |          24           |        270         |          2015          |             0             |             1             |         192         |               1               |
|    15    |     15     |             LG G6              |           5.7           |             13             |              5              |        4         |         3300         |         13          |          1          |          16           |        430         |          2017          |             1             |             1             |         163         |               0               |
|    16    |     16     |          LG Stylus 3           |           5.7           |             13             |              5              |        3         |         3200         |         16          |          1          |          19           |        200         |          2017          |             1             |             1             |         149         |               0               |
|    17    |     17     |             LG V20             |           5.7           |             16             |              5              |        4         |         3200         |         64          |          1          |          20           |        560         |          2016          |             0             |             1             |        158.5        |               0               |
|    18    |     18     |          LG X venture          |           5.2           |             16             |              5              |        2         |         4100         |         32          |          1          |          24           |        400         |          2017          |             0             |             1             |        166.5        |               0               |
|    19    |     19     |     Motorola Moto G5 Plus      |           5.2           |             12             |              5              |        4         |         3000         |         64          |          1          |          30           |        250         |          2017          |             0             |             1             |         155         |               0               |
|    20    |     20     |         Sony Xperia L1         |           5.5           |             13             |              5              |        2         |         2620         |         16          |          1          |          13           |        190         |          2017          |             1             |             1             |         180         |               0               |
|    21    |     21     |       BlackBerry Classic       |           5.2           |             8              |              2              |        2         |         2515         |         16          |          1          |          12           |        120         |          2014          |             0             |             1             |         177         |               1               |
